agent,avg_rate_bps,deadline_miss_s,edge0_load,edge1_load,edge2_load,edge3_load,edge4_load,edge5_load,edge6_load,edge7_load,edge8_load,edge9_load,energy_j,final_edge,final_edge_load,latency_s,load_imbalance,packet_loss,route,success,task,time_s
LKW16,215294.59165892442,40.774503794026586,0.0,0.0,0.0,0.007147636363636364,0.0,0.0,0.0,0.0,0.0,0.0,26.383678089449226,3,0.007147636363636364,52.774503794026586,3.0,0.8701056545631252,UAV4->E3,0.0,LKW16_300_0,300.0
LKW16,215294.59165892442,0.0,0.0,0.0,0.0,0.008896727272727273,0.0,0.0,0.0,0.0,0.0,0.0,4.711371100055871,3,0.008896727272727273,9.43163889828397,2.9999999999999996,0.8701056545631252,UAV4->E3,1.0,LKW16_300_1,300.0
LKW17,457331.0602167143,20.654907065621835,0.0,0.0,0.0033264,0.008896727272727273,0.0,0.0,0.0,0.0,0.0,0.0,17.32103833543592,2,0.0033264,34.654907065621835,2.244639163865998,0.5389485435313592,E3->E2,0.0,LKW17_300_0,300.0
LKW17,457331.0602167143,0.0,0.0,0.0,0.0049144,0.008896727272727273,0.0,0.0,0.0,0.0,0.0,0.0,2.186999799421328,2,0.0049144,4.3801139789926555,2.1013579848378665,0.5389485435313592,E3->E2,1.0,LKW17_300_2,300.0
LKW19,nan,0.0,0.0,0.0,0.0049144,0.008896727272727273,0.0,0.0,0.0,0.0,0.0,0.0,1.69e-09,,nan,0.008112,2.1013579848378665,0.0,LOCAL,1.0,LKW19_300_0,300.0
LKW19,nan,0.0,0.0,0.0,0.0049144,0.008896727272727273,0.0,0.0,0.0,0.0,0.0,0.0,2.6200000000000005e-09,,nan,0.0355696,2.1013579848378665,0.0,LOCAL,1.0,LKW19_300_1,300.0
LKW19,209511.026479829,24.525775856889872,0.0,0.0,0.0049144,0.008896727272727273,0.0,0.0,0.0,0.00874,0.0,0.0,22.258517940319933,7,0.00874,44.52577585688987,1.5916561944006096,0.8756881302940318,UAV2->E7,0.0,LKW19_300_2,300.0
LKW22,458122.87570387864,14.724755209865101,0.0,0.0,0.0049144,0.008896727272727273,0.0,0.0,0.0,0.00874,0.006204072727272727,0.0,17.359275575254166,8,0.006204072727272727,34.7247552098651,1.2801041954744175,0.642590877989007,UAV1->E8,0.0,LKW22_300_2,300.0
LKW25,215343.60792280306,62.26743646039003,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.006204072727272727,0.0,38.624573512451036,3,0.018289454545454546,77.26743646039003,1.5013111654692104,0.870051483672467,UAV4->E3,0.0,LKW25_300_1,300.0
LKW25,nan,0.0,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.006204072727272727,0.0,1.18e-09,,nan,0.0044368,1.5013111654692104,0.0,LOCAL,1.0,LKW25_300_2,300.0
LKW27,nan,0.0,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.006204072727272727,0.0,4.5400000000000005e-09,,nan,0.050848,1.5013111654692104,0.0,LOCAL,1.0,LKW27_300_0,300.0
LKW27,nan,0.0,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.006204072727272727,0.0,3.5200000000000003e-09,,nan,0.0685888,1.5013111654692104,0.0,LOCAL,1.0,LKW27_300_2,300.0
LKW29,458022.5860979914,11.518752734229178,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.010617163636363636,0.0,14.754067790892659,8,0.010617163636363636,29.518752734229178,1.4226496778071598,0.6427043928276885,UAV0->E8,0.0,LKW29_300_1,300.0
LKW29,nan,0.0,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.010617163636363636,0.0,6.9e-10,,nan,0.0022632,1.4226496778071598,0.0,LOCAL,1.0,LKW29_300_2,300.0
LKW30,nan,0.0,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.010617163636363636,0.0,2.3700000000000003e-09,,nan,0.0420912,1.4226496778071598,0.0,LOCAL,1.0,LKW30_300_1,300.0
LKW30,320528.8984319297,3.225068483487288,0.0,0.0,0.0049144,0.018289454545454546,0.0,0.0,0.0,0.00874,0.014251345454545454,0.0,12.10540857697212,8,0.014251345454545454,24.225068483487288,1.410804751361547,0.7455310329495739,UAV1->E8,0.0,LKW30_300_2,300.0
