edge,load,queue_cycles,queued_work_s,task,time_s
0,0.0,0.0,0.0,LKW16_300_0,300.0
1,0.0,0.0,0.0,LKW16_300_0,300.0
2,0.0,0.0,0.0,LKW16_300_0,300.0
3,0.007147636363636364,39312000.0,0.007147636363636364,LKW16_300_0,300.0
4,0.0,0.0,0.0,LKW16_300_0,300.0
5,0.0,0.0,0.0,LKW16_300_0,300.0
6,0.0,0.0,0.0,LKW16_300_0,300.0
7,0.0,0.0,0.0,LKW16_300_0,300.0
8,0.0,0.0,0.0,LKW16_300_0,300.0
9,0.0,0.0,0.0,LKW16_300_0,300.0
0,0.0,0.0,0.0,LKW16_300_1,300.0
1,0.0,0.0,0.0,LKW16_300_1,300.0
2,0.0,0.0,0.0,LKW16_300_1,300.0
3,0.008896727272727273,48932000.0,0.008896727272727273,LKW16_300_1,300.0
4,0.0,0.0,0.0,LKW16_300_1,300.0
5,0.0,0.0,0.0,LKW16_300_1,300.0
6,0.0,0.0,0.0,LKW16_300_1,300.0
7,0.0,0.0,0.0,LKW16_300_1,300.0
8,0.0,0.0,0.0,LKW16_300_1,300.0
9,0.0,0.0,0.0,LKW16_300_1,300.0
0,0.0,0.0,0.0,LKW17_300_0,300.0
1,0.0,0.0,0.0,LKW17_300_0,300.0
2,0.0033264,16632000.0,0.0033264,LKW17_300_0,300.0
3,0.008896727272727273,48932000.0,0.008896727272727273,LKW17_300_0,300.0
4,0.0,0.0,0.0,LKW17_300_0,300.0
5,0.0,0.0,0.0,LKW17_300_0,300.0
6,0.0,0.0,0.0,LKW17_300_0,300.0
7,0.0,0.0,0.0,LKW17_300_0,300.0
8,0.0,0.0,0.0,LKW17_300_0,300.0
9,0.0,0.0,0.0,LKW17_300_0,300.0
0,0.0,0.0,0.0,LKW17_300_2,300.0
1,0.0,0.0,0.0,LKW17_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW17_300_2,300.0
3,0.008896727272727273,48932000.0,0.008896727272727273,LKW17_300_2,300.0
4,0.0,0.0,0.0,LKW17_300_2,300.0
5,0.0,0.0,0.0,LKW17_300_2,300.0
6,0.0,0.0,0.0,LKW17_300_2,300.0
7,0.0,0.0,0.0,LKW17_300_2,300.0
8,0.0,0.0,0.0,LKW17_300_2,300.0
9,0.0,0.0,0.0,LKW17_300_2,300.0
0,0.0,0.0,0.0,LKW19_300_0,300.0
