action_kind,agent,avg_latency_s,avg_rate_bps,energy_j,final_edge,latency_s,matched,packet_loss,pair_id,route,scenario,task,time_s
UAV_RELAY,LKW16,52.76941234999689,215294.59165892442,26.380774983773446,2,52.76941234999689,1,0.869571371867419,300.0:LKW16_300_0:LKW16,UAV4->E2,UAV-relay,LKW16_300_0,300.0
DIRECT,LKW16,52.019314775489,215337.18995469026,26.0057261965195,2,52.019314775489,1,0.8309865629580363,300.0:LKW16_300_0:LKW16,DIRECT_E2,No-UAV-relay,LKW16_300_0,300.0
UAV_RELAY,LKW16,9.423629348213732,215294.59165892442,4.710852686131865,2,9.423629348213732,1,0.869571371867419,300.0:LKW16_300_1:LKW16,UAV4->E2,UAV-relay,LKW16_300_1,300.0
DIRECT,LKW16,9.289683352765893,215337.18995469026,4.643879688407946,2,9.289683352765893,1,0.8309865629580363,300.0:LKW16_300_1:LKW16,DIRECT_E2,No-UAV-relay,LKW16_300_1,300.0
UAV_RELAY,LKW17,35.725377693721214,456803.340320244,17.861025649485608,2,35.725377693721214,1,0.6445697494848538,300.0:LKW17_300_0:LKW17,UAV4->E2,UAV-relay,LKW17_300_0,300.0
DIRECT,LKW17,34.64766139289457,457331.0602167143,17.31787033598717,3,34.64766139289457,1,0.5389485435313592,300.0:LKW17_300_0:LKW17,DIRECT_E3,No-UAV-relay,LKW17_300_0,300.0
UAV_RELAY,LKW17,4.515274411833487,456803.340320244,2.2551800158417437,2,4.515274411833487,1,0.6445697494848538,300.0:LKW17_300_2:LKW17,UAV4->E2,UAV-relay,LKW17_300_2,300.0
WIRED_1HOP,LKW17,4.3765229123259894,457331.0602167143,2.186999803788328,4,4.3765229123259894,1,0.5389485435313592,300.0:LKW17_300_2:LKW17,E3->E4,No-UAV-relay,LKW17_300_2,300.0
UAV_RELAY,LKW22,34.7247552098651,458122.87570387864,17.359275575254166,8,34.7247552098651,1,0.642590877989007,300.0:LKW22_300_2:LKW22,UAV1->E8,UAV-relay,LKW22_300_2,300.0
DIRECT,LKW22,33.71834715491998,458122.40932526084,16.85139134298499,7,33.71834715491998,1,0.537988657227721,300.0:LKW22_300_2:LKW22,DIRECT_E7,No-UAV-relay,LKW22_300_2,300.0
UAV_RELAY,LKW25,77.24776185741109,215343.6091680238,38.61814093508429,1,77.24776185741109,1,0.8692430055847371,300.0:LKW25_300_1:LKW25,UAV3->E1,UAV-relay,LKW25_300_1,300.0
DIRECT,LKW25,76.17260299468745,215343.60872425584,38.07867830521872,2,76.17260299468745,1,0.8309773357241148,300.0:LKW25_300_1:LKW25,DIRECT_E2,No-UAV-relay,LKW25_300_1,300.0
UAV_RELAY,LKW25,17.708816430181514,215343.6091680238,8.853915239702479,1,17.708816430181514,1,0.8692430055847371,300.0:LKW25_300_2:LKW25,UAV3->E1,UAV-relay,LKW25_300_2,300.0
WIRED_1HOP,LKW25,17.465213077264387,215343.60872425584,8.730985563243916,1,17.465213077264387,1,0.8309773357241148,300.0:LKW25_300_2:LKW25,E2->E1,No-UAV-relay,LKW25_300_2,300.0
UAV_RELAY,LKW27,25.203368741954026,458106.22312699934,12.594142382327012,2,25.203368741954026,1,0.6433491525975362,300.0:LKW27_300_0:LKW27,UAV4->E2,UAV-relay,LKW27_300_0,300.0
WIRED_1HOP,LKW27,24.53147901026292,456922.70723946183,12.258142188142127,4,24.53147901026292,1,0.5394443840906653,300.0:LKW27_300_0:LKW27,E3->E4,No-UAV-relay,LKW27_300_0,300.0
